C concentration (weight%),Si concentration (weight%),Mn concentration (weight%),S concentration (weight%),P concentration (weight%),V concentration (weight%),O concentration (ppm/weight),Ti concentration (ppm/weight),N concentration (ppm/weight),Al concentration (ppm/weight),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),AC,electrode positive,Type of weld_GMAA,Type of weld_GTAA,Type of weld_MMA,Type of weld_NGGMA,Type of weld_NGSAW,Type of weld_SA,Type of weld_SAA,Type of weld_ShMA,Type of weld_TSA,y
-1.7946242217870003,-0.2419032603083587,-1.4740896433862136,-0.1503529083776724,-0.0620022671103056,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.1178939956641692,-0.1469467676234785,1.374196268612701,False,True,False,False,True,False,False,False,False,False,False,0
-1.7946242217870003,-0.2419032603083587,-1.4740896433862136,-0.1503529083776724,-0.0620022671103056,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.1178939956641692,1.0096100503881418,-0.5383085563466267,False,True,False,False,True,False,False,False,False,False,False,0
-1.7946242217870003,-0.1570849332068299,-0.4674870168472925,-0.2345297669053102,0.0341955909903608,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.1178939956641692,-0.1469467676234785,1.374196268612701,False,True,False,False,True,False,False,False,False,False,False,0
-1.7946242217870003,-0.1570849332068299,-0.4674870168472925,-0.2345297669053102,0.0341955909903608,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.1178939956641692,1.0096100503881418,-0.5383085563466267,False,True,False,False,True,False,False,False,False,False,False,0
-1.474696172988193,0.1821883751992851,0.59209469529894,-0.2345297669053102,0.0341955909903608,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.1178939956641692,-0.1469467676234785,1.374196268612701,False,True,False,False,True,False,False,False,False,False,False,1
-1.474696172988193,0.1821883751992851,0.59209469529894,-0.2345297669053102,0.0341955909903608,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.1178939956641692,1.0096100503881418,-0.5383085563466267,False,True,False,False,True,False,False,False,False,False,False,1
-1.4289921660169351,0.0125517209962278,1.7046554930524846,-0.2345297669053102,0.1303934490910273,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.1178939956641692,-0.1469467676234785,1.374196268612701,False,True,False,False,True,False,False,False,False,False,False,1
-1.4289921660169351,0.0125517209962278,1.7046554930524846,-0.2345297669053102,0.1303934490910273,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.1178939956641692,1.0096100503881418,-0.5383085563466267,False,True,False,False,True,False,False,False,False,False,False,1
-1.703216207844484,-0.072266606105301,-1.4476001005825578,-0.318706625432948,-0.1101011961606389,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.1178939956641692,-0.1469467676234785,1.374196268612701,False,True,False,False,True,False,False,False,False,False,False,0
-1.703216207844484,-0.072266606105301,-1.4476001005825578,-0.318706625432948,-0.1101011961606389,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.1178939956641692,1.0096100503881418,-0.5383085563466267,False,True,False,False,True,False,False,False,False,False,False,0
