C concentration (weight%),Si concentration (weight%),Mn concentration (weight%),S concentration (weight%),P concentration (weight%),V concentration (weight%),O concentration (ppm/weight),Ti concentration (ppm/weight),N concentration (ppm/weight),Al concentration (ppm/weight),Current (A),Voltage (V),Heat input (kJ/mm),Interpass temperature (deg C),Post weld heat treatment temperature (deg C),Post weld heat treatment time (hours),Yield strength (MPa),Ultimate tensile strength (MPa),Elongation (%),Reduction of Area (%),Charpy temperature (deg C),Charpy impact toughness (J),AC,electrode positive,Type of weld_GMAA,Type of weld_GTAA,Type of weld_MMA,Type of weld_NGGMA,Type of weld_NGSAW,Type of weld_SA,Type of weld_SAA,Type of weld_ShMA,Type of weld_TSA
-1.7946242217870005,-0.24190326030835876,-1.4740896433862136,-0.15035290837767243,-0.06200226711030569,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,-0.14694676762347852,1.374196268612701,-1.2781945042006764,-1.4699073086658565,1.1668746500718616,1.0026570632984964,,,False,True,False,False,True,False,False,False,False,False,False
-1.7946242217870005,-0.24190326030835876,-1.4740896433862136,-0.15035290837767243,-0.06200226711030569,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,1.0096100503881418,-0.5383085563466267,-1.5157079182333504,-1.5827455180928145,1.8402574439927624,1.0026570632984964,-0.09569823762265806,0.33614176652163724,False,True,False,False,True,False,False,False,False,False,False
-1.7946242217870005,-0.1570849332068299,-0.46748701684729255,-0.23452976690531024,0.03419559099036082,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,-0.14694676762347852,1.374196268612701,-1.0514771544422148,-1.1088250384995915,1.0240358756037922,1.0026570632984964,,,False,True,False,False,True,False,False,False,False,False,False
-1.7946242217870005,-0.1570849332068299,-0.46748701684729255,-0.23452976690531024,0.03419559099036082,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,1.0096100503881418,-0.5383085563466267,-1.170233861458552,-1.1990956060411577,0.9832247971843439,1.0026570632984964,-0.26192891889512476,0.33614176652163724,False,True,False,False,True,False,False,False,False,False,False
-1.4746961729881933,0.1821883751992851,0.59209469529894,-0.23452976690531024,0.03419559099036082,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,-0.14694676762347852,1.374196268612701,-0.4576936193605297,-0.5107825285367149,0.6567361698287558,0.7903996914839365,,,False,True,False,False,True,False,False,False,False,False,False
-1.4746961729881933,0.1821883751992851,0.59209469529894,-0.23452976690531024,0.03419559099036082,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,1.0096100503881418,-0.5383085563466267,-0.8031676761353284,-0.7590265892760222,1.1056580324426895,0.8015711321057548,-0.6498005085308803,0.33614176652163724,False,True,False,False,True,False,False,False,False,False,False
-1.4289921660169351,0.012551720996227842,1.7046554930524846,-0.23452976690531024,0.13039344909102732,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,-0.14694676762347852,1.374196268612701,0.03892533725324329,-0.09328115365697093,0.3710586208926168,0.578142319669375,,,False,True,False,False,True,False,False,False,False,False,False
-1.4289921660169351,0.012551720996227842,1.7046554930524846,-0.23452976690531024,0.13039344909102732,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,1.0096100503881418,-0.5383085563466267,-0.3389369123441927,-0.22868700496932035,0.2486253856342711,0.589313760291195,-0.1511084647134803,0.33614176652163724,False,True,False,False,True,False,False,False,False,False,False
-1.7032162078444841,-0.07226660610530103,-1.4476001005825578,-0.31870662543294803,-0.11010119616063897,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,-0.14694676762347852,1.374196268612701,-1.0730692829906399,-1.2667985316973325,1.309713424539932,0.8574283352148498,,,False,True,False,False,True,False,False,False,False,False,False
-1.7032162078444841,-0.07226660610530103,-1.4476001005825578,-0.31870662543294803,-0.11010119616063897,1.5429809679915314e-17,-1.1432706930975064e-16,0.0,0.0,8.694071294061293e-17,-0.6337625456342338,-0.5532006348973932,-0.5613082293542043,-0.11789399566416926,1.0096100503881418,-0.5383085563466267,-1.1810299257327643,-1.3683529201815945,1.63620205189552,1.0026570632984964,,,False,True,False,False,True,False,False,False,False,False,False
